标的代码,市场,策略ID,周期,方向,入场时间(UTC),出场时间(UTC),入场价,出场价,收益率,持仓K线数,模型概率,回归预测,短周期预测,综合评分
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-06-09T00:00:00.000Z,2025-06-11T00:00:00.000Z,2498.636122828306,2655.268035699332,-0.06428696407611693,2,0.21054375603487277,-0.0015433894733462993,0.0006767220675902463,0.5791556114416619
ETHUSDT,加密现货,MOM_FAST,1d,做空,2025-06-09T00:00:00.000Z,2025-06-10T00:00:00.000Z,2496.0343990182573,2624.0066634398077,-0.053070232682644325,1,0.2104543583776811,-0.0015519432177714693,0.0006812342210089655,0.5790884077102413
UNH,美股,US_BETA,1d,做空,2025-06-10T00:00:00.000Z,2025-06-12T00:00:00.000Z,460.83608154612114,475.54288248903316,-0.034113301783076956,2,0.17573313023742929,-0.0016585664395020283,0.00023217914402581498,0.6045406777450671
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-06-11T00:00:00.000Z,2025-06-13T00:00:00.000Z,2583.7109187032197,2319.1628566065747,0.0751930518604874,2,0.21010471695668406,-0.0031535647304584396,0.0008058234520185775,0.5923531216348549
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-06-14T00:00:00.000Z,2025-06-21T00:00:00.000Z,2359.244772340863,2089.7066136273816,0.08408573358945398,7,0.17895649440453726,-0.0018611634792127883,-0.0008427838150934225,0.6044406318624355
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-06-14T00:00:00.000Z,2025-06-16T00:00:00.000Z,2359.244772340863,2480.5369437619297,-0.053411440153672315,2,0.17895649440453726,-0.0018611634792127883,-0.0008427838150934225,0.6040406318624355
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-06-14T00:00:00.000Z,2025-06-16T00:00:00.000Z,2359.244772340863,2494.013851697604,-0.058923822392969324,2,0.17895649440453726,-0.0018611634792127883,-0.0008427838150934225,0.6042406318624355
ETHUSDT,加密现货,MOM_SWING,1d,做空,2025-06-14T00:00:00.000Z,2025-06-21T00:00:00.000Z,2356.9244833867924,2091.683483624558,0.08280268291320961,7,0.17891311070920884,-0.001862423138816311,-0.0008411247888739007,0.6044819453999001
ETHUSDT,加密现货,MOM_TIGHT,1d,做空,2025-06-14T00:00:00.000Z,2025-06-16T00:00:00.000Z,2356.9244833867924,2476.282933279798,-0.052641609747925734,2,0.17891311070920884,-0.001862423138816311,-0.0008411247888739007,0.6040819453999001
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-06-15T00:00:00.000Z,2025-06-21T00:00:00.000Z,2374.7824406074287,2115.253280674165,0.08036408505537047,6,0.17836862629125613,-0.003081984385281297,-0.00017913487348758842,0.614630464152546
