symbol,market,strategy_id,timeframe,direction,entryDate,exitDate,entry,exit,pnl,holdDays,prob,regPred,tsPred,score
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-07T00:00:00.000Z,2025-12-14T00:00:00.000Z,89701.48888379459,87490.75834135794,0.023045416368735864,7,0.18965050901001743,-0.006725226397263454,0.0012755242423921251,0.635653444690895
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-07T00:00:00.000Z,2025-12-14T00:00:00.000Z,89800.498393707,87591.98691231506,0.022993532562695852,7,0.19033138449294118,-0.005106045545393833,0.0018453862631401404,0.622209767528233
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-07T00:00:00.000Z,2025-12-09T00:00:00.000Z,2880.2191222283745,3091.7750453981744,-0.07505132928848926,2,0.19289789048652198,-0.004932198358382864,-0.001440984651579868,0.6189711057167671
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-08T00:00:00.000Z,2025-12-15T00:00:00.000Z,89964.99732085678,85774.18058387176,0.042109296005059166,7,0.1740367304320897,-0.009847615069064114,-0.000992382962978865,0.6718744746414084
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-08T00:00:00.000Z,2025-12-15T00:00:00.000Z,90037.95554863074,85863.34690599276,0.041850479695932384,7,0.17474122180861992,-0.008171942616322135,-0.0003775404913426003,0.6579618612283706
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-08T00:00:00.000Z,2025-12-09T00:00:00.000Z,2940.7537535830184,3148.465024385696,-0.07223198356870304,1,0.20835651730239946,-0.004377830300337246,-0.002110772450889951,0.6034059499449702
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-09T00:00:00.000Z,2025-12-16T00:00:00.000Z,91978.14617913602,87200.3430518301,0.04491638260770416,7,0.19668730116992408,-0.0067959367866348005,0.0002452700646613634,0.631152637450733
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-12-09T00:00:00.000Z,2025-12-15T00:00:00.000Z,3134.130369532211,2766.805319269829,0.08630118955323027,6,0.18936212699464858,0.0015329796955186516,-0.00429793397373443,0.5697954309997038
ETHUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-09T00:00:00.000Z,2025-12-15T00:00:00.000Z,3123.2518771569316,2760.5047594049443,0.08550803643593569,6,0.1892132605921053,-0.007967185961216405,-0.007735711675170055,0.6459039400634153
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-12-09T00:00:00.000Z,2025-12-16T00:00:00.000Z,92068.96276511131,87285.26852306392,0.04474503957216837,7,0.1972220204697053,-0.0051010557009695335,0.000833088061702801,0.6172085908695685
